City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,yellowknife,62.456,-114.3525,-15.71,55,0,1.03,CA,1679941239
84,vernon,50.2581,-119.2691,10.89,45,17,1.54,CA,1679941913
85,lazaro cardenas,17.9583,-102.2,28.61,45,100,4.46,MX,1679941914
86,chicama,-7.8447,-79.1469,28.3,63,90,4.28,PE,1679941914
87,saldanha,-33.0117,17.9442,20.03,67,15,7.25,ZA,1679941530
88,makokou,0.5738,12.8642,22.17,93,98,1.05,GA,1679941914
89,bilibino,68.0546,166.4372,-28.89,99,85,1.79,RU,1679941914
90,codrington,-38.2667,141.9667,13.14,86,65,1.87,AU,1679941526
91,vakhrushev,48.9833,142.9667,-3.7,81,8,3.64,RU,1679941915
92,natal,-5.795,-35.2094,29.36,70,40,6.17,BR,1679941650
93,raychikhinsk,49.7838,129.4121,-1.2,67,18,2.46,RU,1679941915
94,saint-philippe,-21.3585,55.7679,23.77,80,45,3.09,RE,1679941364
95,san cristobal,7.7669,-72.225,28.1,44,95,2.39,VE,1679941368
96,thompson,55.7435,-97.8558,-15.91,51,20,5.14,CA,1679941841
97,seoul,37.5683,126.9778,4.69,85,0,1.54,KR,1679941743
98,krasnyy chikoy,50.3643,108.7512,-5.96,96,42,1.02,RU,1679941916
99,busselton,-33.65,115.3333,12.76,86,0,4.67,AU,1679941317
100,vao,-22.6667,167.4833,25.07,85,86,8.08,NC,1679941916
101,kahului,20.8947,-156.47,26.02,75,0,1.34,US,1679941532
102,melo,-32.3667,-54.1833,26.5,32,0,2.69,UY,1679941919
103,tual,-5.6667,132.75,28.84,71,100,6.41,ID,1679941919
104,mar del plata,-38.0023,-57.5575,25.53,47,0,8.23,AR,1679941343
105,baghdad,33.3406,44.4009,18.95,82,0,2.57,IQ,1679941673
106,te anau,-45.4167,167.7167,3.5,96,82,1.94,NZ,1679941920
107,nikolskoye,59.7035,30.7861,-1.06,98,100,2.36,RU,1679941375
108,puerto ayora,-0.7393,-90.3518,30.98,86,82,2.68,EC,1679941432
109,upernavik,72.7868,-56.1549,-24.03,88,43,4.51,GL,1679941559
110,coquimbo,-29.9533,-71.3436,20.85,73,20,5.66,CL,1679941273
111,dikson,73.5069,80.5464,-30.01,100,97,2.41,RU,1679941920
112,butaritari,3.0707,172.7902,27.6,74,75,7.77,KI,1679941345
113,katsuura,35.1333,140.3,12.76,76,100,6.8,JP,1679941921
114,namatanai,-3.6667,152.4333,26.15,77,68,2.13,PG,1679941518
115,hobart,-42.8794,147.3294,12.92,94,40,3.09,AU,1679941711
